NMU,V_PIB,V_PIBpC,V_VAADESS,V_VAADESS_R,V_VAAGRO,V_VAAGRO_R,V_VABT,V_VAIND,V_VAIND_R,V_VASERV,V_VASERV_R,PIB_M,PIBpC_M,VAADESS_M,VAADESS_R_M,VAAGRO_M,VAAGRO_R_M,VABT_M,VAIND_M,VAIND_R_M,VASERV_M,VASERV_R_M,RAECP,RAP,RCC,RCO,REM,RIT,RM,RSE,RSIUP,CENSO,EXPOR,IDHME,IDEB_EF1V,IDEB_EF2V,IDEB_EMV,IDEB_FF1V,IDEB_FF2V,IDEB_FMV,IDEB_MF1V,IDEB_MF2V,IDEB_MMV,IDEB_PF1V,IDEB_PF2V,IDEB_PMV,INREND_EF1V,INREND_EF2V,INREND_EMV,INREND_FF1V,INREND_FF2V,INREND_FMV,INREND_MF1V,INREND_MF2V,INREND_MMV,INREND_PF1V,INREND_PF2V,INREND_PMV,NSLP_EF1V,NSLP_EF2V,NSLP_EMV,NSLP_FF1V,NSLP_FF2V,NSLP_FMV,NSLP_MF1V,NSLP_MF2V,NSLP_MMV,NSLP_PF1V,NSLP_PF2V,NSLP_PMV,NSMAT_EF1V,NSMAT_EF2V,NSMAT_EMV,NSMAT_FF1V,NSMAT_FF2V,NSMAT_FMV,NSMAT_MF1V,NSMAT_MF2V,NSMAT_MMV,NSMAT_PF1V,NSMAT_PF2V,NSMAT_PMV,TXAPRO_EF1V,TXAPRO_EF2V,TXAPRO_EMV,TXAPRO_FF1V,TXAPRO_FF2V,TXAPRO_FMV,TXAPRO_MF1V,TXAPRO_MF2V,TXAPRO_MMV,TXAPRO_PF1V,TXAPRO_PF2V,TXAPRO_PMV,IDEB_EF1M,IDEB_EF2M,IDEB_EMM,IDEB_FF1M,IDEB_FF2M,IDEB_FMM,IDEB_MF1M,IDEB_MF2M,IDEB_MMM,IDEB_PF1M,IDEB_PF2M,IDEB_PMM,INREND_EF1M,INREND_EF2M,INREND_EMM,INREND_FF1M,INREND_FF2M,INREND_FMM,INREND_MF1M,INREND_MF2M,INREND_MMM,INREND_PF1M,INREND_PF2M,INREND_PMM,NSLP_EF1M,NSLP_EF2M,NSLP_EMM,NSLP_FF1M,NSLP_FF2M,NSLP_FMM,NSLP_MF1M,NSLP_MF2M,NSLP_MMM,NSLP_PF1M,NSLP_PF2M,NSLP_PMM,NSMAT_EF1M,NSMAT_EF2M,NSMAT_EMM,NSMAT_FF1M,NSMAT_FF2M,NSMAT_FMM,NSMAT_MF1M,NSMAT_MF2M,NSMAT_MMM,NSMAT_PF1M,NSMAT_PF2M,NSMAT_PMM,TXAPRO_EF1M,TXAPRO_EF2M,TXAPRO_EMM,TXAPRO_FF1M,TXAPRO_FF2M,TXAPRO_FMM,TXAPRO_MF1M,TXAPRO_MF2M,TXAPRO_MMM,TXAPRO_PF1M,TXAPRO_PF2M,TXAPRO_PMM,IDMECO,IDMINFRA,IDMSUS,IDMSEG,IDMTRAB,REGIOES
Abadia de Goiás,1.902064040478618,1.5211417114451646,2.352567782802679,1.205508131049707,1.7134338368302398,8.780016615945485,1.9515154831466437,2.8808858116281955,1.4762300563370483,1.5974050424200246,0.8185459230097175,168.42300545454546,2.090634636363637,33.31252890909091,19692107835.498096,4.593264,15908482521.93479,147.85813572727272,29.628746363636363,17122556704.52002,63.068771727272726,11688401279.563704,2.852188254126093,4.96258615431534,1.5284232267755713,1.8187393726180008,1.0,1.7376463584044457,2.270558841743364,1.4738105412457838,2.6773092858883745,1.7818499127399652,4.333338724023611,0.622,,1.05,1.15,,,,1.0,1.2564102564102566,,1.0,1.236842105263158,1.15,,1.052373280082428,0.9818825283113732,,,,1.0578451164252092,1.436850215615698,,1.0578451164252092,1.307747827509551,0.9818825283113732,,1.0256979183475876,1.0697145061728397,,,,0.9911702940053454,1.0060892068808038,,0.9911702940053454,1.000669080604534,1.0697145061728397,,0.9893212225359028,1.0282473057288712,,,,0.9113261491093028,0.9528066832771508,,0.9113261491093028,0.9487649744410191,1.0282473057288712,,1.0632754342431765,0.974304068522484,,,,1.0585729499467518,1.4703264094955488,,1.0585729499467518,1.3135359116022098,0.974304068522484,,4.183333333333333,4.3,,,,5.816666666666666,4.540000000000001,,5.816666666666666,4.416666666666667,4.3,,0.8874469883333332,0.9413986766666668,,,,0.9694484866666668,0.8615285083333334,,0.9694484866666668,0.8682416683333334,0.9413986766666668,,244.786,268.235,,,,212.93400000000003,263.06000000000006,,212.93400000000003,254.074,268.235,,239.132,268.185,,,,220.138,263.485,,220.138,250.308,268.185,,88.78333333333335,94.06666666666666,,,,96.9,85.75,,96.9,86.71666666666665,94.06666666666666,2.4954128440366974,1.0480549199084668,0.7869281045751633,0.8217665615141956,1.7399103139013452,CENTRO GOIANO
Abadiânia,2.1655302757767885,0.1736573015480974,2.060735106381945,0.9520232437199722,2.598500930299517,1.2004615619017864,2.164584866993109,3.285700103530925,1.517935449717526,1.8326521459628589,8.466529420528797,214.90902745454548,1.155305818181818,60.83631163636363,18309320830.138977,47.769506,14255250566.812649,197.16945572727272,17.167913454545452,7963848791.276726,103.60190163636364,18624395384.627865,2.410392379869206,2.2966612552069567,1.3094861269103315,2.4236247094456576,1.7942224741337074,2.4431806446854023,2.229668184775537,1.912107151164926,0.7959687492477513,0.0933553341372088,8.401553710152692,0.579,1.0,1.3333333333333333,1.024390243902439,,,,1.1458333333333337,,,1.1,1.3333333333333333,1.024390243902439,1.041254481741509,1.2317743283005251,1.080468481031022,,,,1.04623755150345,,,1.0520912978514676,1.2317743283005251,1.080468481031022,1.0,1.0649874273822943,0.9679668854415272,,,,1.1114155751630406,,,1.0665825181445252,1.0649874273822943,0.9679668854415272,1.0,1.0381194409148666,0.9710608512399804,,,,1.0452826481999902,,,1.0229752463350157,1.0381194409148666,0.9710608512399804,1.152073732718894,1.2269938650306749,1.0789189189189188,,,,1.0475161987041035,,,1.052060737527115,1.2269938650306749,1.0789189189189188,5.6,4.716666666666667,4.15,,,,5.216666666666667,,,5.25,4.716666666666667,4.15,0.990095005,0.933635165,0.9524223266666666,,,,0.9559588383333332,,,0.956084005,0.933635165,0.9524223266666666,206.77,250.578,263.865,,,,193.996,,,195.53,250.578,263.865,217.69,248.636,261.885,,,,209.064,,,209.952,248.636,261.885,96.7,93.46666666666664,95.4,,,,95.45,,,95.46666666666664,93.46666666666664,95.4,2.0084033613445382,0.6830065359477123,0.9664,1.2555205047318612,1.5688073394495412,LESTE GOIANO
Acreúna,1.791057745899408,1.6347197347025946,1.7040400083823566,0.93339238169399,2.368364429789013,1.297277825031014,1.825641650609726,1.1845583680199812,6.488449513760608,1.6167214481736556,0.8855634114360315,464.4146611818182,2.569403090909091,82.55146009090909,12339385658.58382,179.33911963636362,21971979618.77271,514.407662909091,44.40463136363637,8194080355.630249,182.1272038181818,24922733580.19712,2.40237267056606,2.000399051311975,1.4581394502093574,2.31429934624599,,2.3550559706228267,2.10922057802233,1.688632779800261,0.3164783215963587,0.0635632920755461,1.067376070594342,0.553,,1.3421052631578947,1.0227272727272727,,,,1.0925925925925926,1.0,,1.0925925925925926,1.3157894736842106,1.0227272727272727,,1.2855453118020093,1.0254874654667097,,,,1.09590929589791,1.1737125212927837,,1.09590929589791,1.2774010294841198,1.0254874654667097,,1.0365843553198542,1.0078866711519772,,,,1.036227266042453,0.8208245981830887,,1.036227266042453,1.0333112363274777,1.0078866711519772,,1.0125463018281755,0.99486098787341,,,,0.9605821710127348,0.8625713791313376,,0.9605821710127348,1.011550563587844,0.99486098787341,,1.2820512820512822,1.0256410256410255,,,,1.102132435465769,1.1371794871794871,,1.102132435465769,1.273076923076923,1.0256410256410255,,4.883333333333333,4.533333333333334,,,,6.033333333333332,4.375,,6.033333333333332,4.833333333333333,4.533333333333334,,0.930392155,0.9779493433333334,,,,0.9631718366666666,0.8351304900000001,,0.9631718366666666,0.92285366,0.9779493433333334,,253.85,272.4433333333333,,,,213.97600000000003,251.84666666666664,,213.97600000000003,253.282,272.4433333333333,,260.456,274.2966666666666,,,,232.776,266.0133333333333,,232.776,260.418,274.2966666666666,,93.09999999999998,97.53333333333336,,,,96.13333333333334,83.55,,96.13333333333334,92.35,97.53333333333336,1.86875,0.932748538011696,0.9511533242876526,1.0286944045911048,1.3238866396761133,SUL GOIANO
Adelândia,1.5763002221209383,1.5537454089650182,1.836405087067491,0.1143099603193034,17.260388126556087,1.074400357381441,1.6065136248301013,14.219778758050646,0.885132783082029,13.329446600144232,82.9712639477546,29.479047636363635,1.2517194545454546,10.822762545454545,16378483086.595486,5.890371454545454,15041146850.527002,27.489846727272727,2.6408245454545454,10476181522.267351,7.000574363636363,15869428650.373848,2.223775895275825,1.878333400572881,0.7358669577223605,1.169032964026809,,2.030412510110541,2.2557023717628537,0.5108208250731615,,-0.0726685506661283,,0.622,1.1041666666666667,1.4999999999999998,0.9069767441860466,,,,0.9444444444444444,,,1.0851063829787233,1.4999999999999998,0.9069767441860466,0.97959203,1.187881207412825,1.0,,,,0.9414221758905555,,,0.9383287769557432,1.187881207412825,1.0,1.068795518207283,1.2364310430054373,0.970111839568068,,,,1.0102515821957216,,,1.0820728291316526,1.2364310430054373,0.970111839568068,1.0970594502450457,1.0593896921848664,0.9279945911429966,,,,1.0861471637623457,,,1.11895376092052,1.0593896921848664,0.9279945911429966,0.978,1.1848341232227488,1.0,,,,0.94655704008222,,,0.9369277721261444,1.1848341232227488,1.0,5.05,4.34,4.033333333333333,,,,5.1,,,5.066666666666666,4.34,4.033333333333333,0.989796015,0.9599229983333334,1.0,,,,0.9336470075,,,0.9516545033333332,0.9599229983333334,1.0,184.64,233.5275,254.83,,,,193.00333333333333,,,189.658,233.5275,254.83,196.83,237.4825,251.98666666666668,,,,207.31333333333336,,,203.12,237.4825,251.98666666666668,98.9,96.15,100.0,,,,93.65,,,95.3,96.15,100.0,2.027522935779816,0.8713826366559486,1.3466204506065858,1.0076004343105318,1.3715846994535517,CENTRO GOIANO
Alexânia,2.095048426558741,1.823761840241361,2.001356227802701,0.9435683152674758,2.6465620431580037,1.247759920808871,2.1210506917407184,241.3058959092766,0.1137671517464963,1.9114526564026024,0.9011819773311962,751.8069624545454,2.205966,90.68859390909093,12908529253.966728,49.21771172727273,8086745041.263324,603.4226813636363,112.2569191818182,11061775545.365108,341.12934618181816,16425808603.213806,2.2526651265065274,2.644668158090977,1.5212782663316582,3.181794824214568,1.789444844001507,2.326034749744101,1.9820169503596607,1.100414056693917,0.2225111062273362,0.1341227849164357,0.2308293412156423,0.568,,1.2926829268292683,1.1,,,,1.1875,1.236842105263158,,1.1875,1.3,1.1,,1.2146270564575694,1.0678456419313842,,,,1.0715815972446732,1.1713177144823412,,1.0715815972446732,1.2021732726220316,1.0678456419313842,,1.0699425965883649,1.0361920048918445,,,,1.1066358356635837,1.0454506474573364,,1.1066358356635837,1.0711519446275544,1.0361920048918445,,1.01251667582202,0.9952076092921164,,,,1.0473039699782736,1.0263957219251336,,1.0473039699782736,1.0217678364211116,0.9952076092921164,,1.2162162162162162,1.0672546857772878,,,,1.0792616720955484,1.172209026128266,,1.0792616720955484,1.2058465286236295,1.0672546857772878,,4.733333333333333,4.233333333333333,,,,5.333333333333333,4.14,,5.333333333333333,4.616666666666666,4.233333333333333,,0.9187498383333336,0.9209493266666668,,,,0.9620421716666668,0.8948200000000001,,0.9620421716666668,0.91183435,0.9209493266666668,,254.52400000000003,270.61,,,,198.702,240.3675,,198.702,252.486,270.61,,256.844,275.4766666666667,,,,209.48200000000003,236.235,,209.48200000000003,253.84,275.4766666666667,,91.85,91.86666666666667,,,,95.85,89.41666666666667,,95.85,91.13333333333333,91.86666666666667,1.9069767441860463,1.039426523297491,0.9428191489361702,1.5509355509355511,1.6775510204081632,LESTE GOIANO
Aloândia,1.9150111078068035,0.1967080839757735,1.7484366442420105,0.9085322868708344,2.524302896540208,1.311692185645421,1.9244628611537573,3.066437562460317,1.5933991891233017,1.4535392857925171,0.7552960959304179,36.05202181818182,1.0580686363636365,11.163542727272729,11179999215.245182,8.178897727272728,19644945869.758297,31.136394272727276,2.2340275454545453,5787591663.833339,10.609043272727272,17875973599.55346,1.7989708279603902,2.8104969749906874,1.0,1.7923781726270178,1.07,1.6064057971014494,2.278590746643485,0.5769052073268507,,-0.038030229156509,,0.585,1.2105263157894737,1.2916666666666667,1.0784313725490198,,,,,,,1.2105263157894737,1.2916666666666667,1.0784313725490198,1.0154432735383354,1.1093795840652838,1.136010449798642,,,,,,,1.0154432735383354,1.1093795840652838,1.136010449798642,1.18756365858627,1.1177254901960785,0.9657235955760252,,,,,,,1.18756365858627,1.1177254901960785,0.9657235955760252,1.1369190973151369,1.10246909050886,0.968143401133092,,,,,,,1.1369190973151369,1.10246909050886,0.968143401133092,1.0164102564102564,1.09841628959276,1.1463700234192038,,,,,,,1.0164102564102564,1.09841628959276,1.1463700234192038,6.475,5.46,5.3,,,,,,,6.475,5.46,5.3,0.9862246683333332,0.8830400016666666,0.91260301,,,,,,,0.9862246683333332,0.8830400016666666,0.91260301,218.64,275.0125,313.70000000000005,,,,,,,218.64,275.0125,313.70000000000005,241.3225,290.5,317.865,,,,,,,241.3225,290.5,317.865,98.58333333333331,88.76666666666667,91.65,,,,,,,98.58333333333331,88.76666666666667,91.65,1.8849557522123888,0.7815789473684212,1.08248730964467,1.0946107784431138,1.3775510204081634,SUL GOIANO
Alto Horizonte,0.0959800713457431,0.6973631766734056,3.1067116719434797,0.3447569786172143,1.4143423001850168,15.695192526098635,0.9011309022384956,0.8027564788176651,0.8908322606888086,0.8880110107223859,0.9854406374439928,479.7445389090909,11.507129,30.786280727272725,22151467107.703007,7.331484727272728,11706632702.2179,661.1340982727272,473.0194393636364,5968195840.554282,124.92073590909092,18984336313.76545,2.109197716888636,2.4896367740611534,1.5564626200715923,2.809943414971276,1.4101065964943578,1.535442232343523,1.6757588235572531,1.556310668865596,0.9972415681978244,0.3478357380688124,0.7935726053951381,0.624,,1.0,0.9756097560975612,,,,1.148148148148148,1.4736842105263157,,1.148148148148148,1.4736842105263157,0.9756097560975612,,1.0760178838022707,1.0444125796487311,,,,1.0432169408893033,1.1855596167098723,,1.0432169408893033,1.1855596167098723,1.0444125796487311,,0.9593105830870216,0.9927840773927524,,,,1.0862489829129374,1.1356666666666666,,1.0862489829129374,1.1356666666666666,0.9927840773927524,,0.9479154982239671,0.9497072122155512,,,,1.062893943546177,1.1391714214835027,,1.062893943546177,1.1391714214835027,0.9497072122155512,,1.008298755186722,1.0493179433368311,,,,1.037775445960126,1.1886559802712702,,1.037775445960126,1.1886559802712702,1.0493179433368311,,4.9,4.333333333333333,,,,6.133333333333334,4.720000000000001,,6.133333333333334,4.75,4.333333333333333,,0.93316898,0.9828113333333331,,,,0.9641291666666668,0.88702082,,0.9641291666666668,0.88987632,0.9828113333333331,,255.21,263.7,,,,215.216,257.1675,,215.216,255.022,263.7,,260.485,269.24333333333334,,,,235.604,261.81,,235.604,260.088,269.24333333333334,,96.8,98.06666666666666,,,,96.38333333333334,88.41666666666667,,96.38333333333334,88.83333333333333,98.06666666666666,1.702127659574468,0.8154362416107384,0.9205955334987592,1.0153061224489797,1.216,NORTE GOIANO
Alto Paraíso de Goiás,2.433394637001328,2.213098321749197,0.1720624254251344,0.0716382537237108,3.1149276981327327,1.296901285789097,2.4018232785060887,2.333580337314666,9.715870264885316,2.387786151026344,9.94155636842493,126.7762570909091,1.5957222727272726,24.85287290909091,14995148741.11506,36.1071989090909,14934513660.916063,126.45053572727274,7.831460181818182,6031607044.53727,51.263946727272725,25872011887.87717,2.4043439159305664,3.119463889963767,2.03814947729755,2.025467345421908,,3.311414459895387,2.1835845107921688,1.6492008356938694,0.5209176012747442,0.4957153231663035,66.61016628873772,0.611,,1.135135135135135,1.0285714285714287,,,,1.3414634146341464,,,1.3414634146341464,1.105263157894737,1.0285714285714287,,1.166737240657792,1.0940203699466278,,,,1.2558753624948038,1.0,,1.2558753624948038,1.1517353507498294,1.0940203699466278,,0.9971107258745612,0.9857960310052352,,,,1.098734572723012,,,1.098734572723012,0.9971107258745612,0.9857960310052352,,0.9690963341858484,0.9589604375424168,,,,1.035000729181858,,,1.035000729181858,0.9690963341858484,0.9589604375424168,,1.1682242990654206,1.0896017699115044,,,,1.2509907529722588,1.0,,1.2509907529722588,1.1547344110854505,1.0896017699115044,,4.249999999999999,3.8,,,,4.716666666666666,,,4.716666666666666,4.233333333333333,3.8,,0.9264755033333332,0.9405416466666666,,,,0.8598510033333334,0.86942703,,0.8598510033333334,0.926367005,0.9405416466666666,,230.042,254.11,,,,196.238,,,196.238,230.042,254.11,,234.516,252.9033333333333,,,,207.13,,,207.13,234.516,252.9033333333333,,92.78333333333336,94.16666666666669,,,,86.03333333333335,86.7,,86.03333333333335,92.68333333333332,94.16666666666669,2.0161290322580645,1.0161725067385443,0.9706275033377836,0.8745019920318725,1.695454545454545,NORTE GOIANO
Alvorada do Norte,1.6961326668339745,1.590720297104907,1.642677592944059,0.0969134900064256,23.06719404519053,1.360901426535127,1.6949937442508214,1.5425966965355706,0.9100899055042788,1.5968939236233697,0.0942123786025645,101.299277,1.1035262727272728,29.69998972727273,18295327997.78993,13.557973727272726,9343666066.395874,102.2174961818182,7.291549545454546,11978863181.408588,48.255421090909095,16467893034.23211,2.090577441398274,3.1282137939667045,6.679021265793122,1.7959952155229697,4.737470588235294,1.611601490431574,2.285016589831473,1.43983724239372,3.2259249283807936,0.0447798119742701,,0.548,1.1454545454545455,1.3714285714285714,1.076923076923077,,,,1.127659574468085,1.4736842105263157,,1.0816326530612244,1.4054054054054057,1.076923076923077,1.1210762080476186,1.1280796680409546,1.1198533441698737,,,,1.065632463417802,1.1468902249318955,,1.0685842925325693,1.1402486884413432,1.1198533441698737,1.135699678644464,1.1256833090379008,0.99227470983958,,,,1.086353165908197,1.1662721129427966,,1.040090894335335,1.1452541172303878,0.99227470983958,0.9456895071269106,1.121083595567109,0.9681279355848804,,,,1.0241421196477376,1.1521043989283557,,0.9700111428709848,1.1358632933865955,0.9681279355848804,1.1210762331838564,1.129988597491448,1.121071012805588,,,,1.0731182795698924,1.150747986191024,,1.075431034482759,1.1384439359267733,1.121071012805588,5.62,4.583333333333334,4.233333333333333,,,,5.25,4.95,,5.316666666666667,4.783333333333333,4.233333333333333,0.950612335,0.954634,0.92971634,,,,0.9726298333333332,0.9572660133333332,,0.9710923316666668,0.95553434,0.92971634,207.4875,241.09,272.55333333333334,,,,193.526,257.056,,195.62,249.188,272.55333333333334,222.0125,243.048,268.86999999999995,,,,205.546,252.158,,208.178,247.65,268.86999999999995,95.21666666666664,95.33333333333331,93.0,,,,97.06666666666666,95.75,,96.88333333333333,95.53333333333336,93.0,2.51111111111111,1.0962199312714775,1.038929440389294,0.8390243902439025,1.7339901477832511,LESTE GOIANO
Amaralina,2.059594256166072,1.868900698533105,1.7023091294468589,0.8214104535593894,0.230397860614135,1.1117323399872985,2.072422041952718,2.1088107798728952,1.017558555730225,0.1982850381092322,0.9567792375070492,50.137699454545455,1.3602305454545454,14.592335363636364,15147246287.062037,22.621663181818185,5166950889.641142,51.45555363636363,1.2625269090909093,21677065709.53565,6.833206454545454,11416781405.777315,2.1702913597516997,2.250783846861077,1.0,0.4533882879134595,0.7475245098039216,1.2187195320116997,2.211827069504668,1.3459295002228553,,-0.0483401281304601,,0.489,,1.4864864864864864,1.2162162162162162,,,,1.1111111111111112,,,1.1111111111111112,1.4473684210526316,1.2162162162162162,,1.155614828388483,1.0204052185056258,,,,1.1591716290610912,1.0,,1.1591716290610912,1.1342779523654198,1.0204052185056258,,1.160216101319635,1.0655160128260956,,,,1.0144879815607508,,,1.0144879815607508,1.160216101319635,1.0655160128260956,,1.15214337405815,1.1482114566830652,,,,0.9524160282852092,,,0.9524160282852092,1.15214337405815,1.1482114566830652,,1.142857142857143,1.0272251308900524,,,,1.1614401858304295,1.0,,1.1614401858304295,1.127128263337117,1.0272251308900524,,4.766666666666667,4.3,,,,5.016666666666667,,,5.016666666666667,4.8,4.3,,0.9444734966666668,0.9738966866666666,,,,0.9137725033333334,0.97558397,,0.9137725033333334,0.9518576766666668,0.9738966866666666,,250.164,267.1366666666667,,,,190.302,,,190.302,250.164,267.1366666666667,,255.11400000000003,263.81333333333333,,,,210.42,,,210.42,255.11400000000003,263.81333333333333,,94.53333333333336,97.09999999999998,,,,91.81666666666666,98.0,,91.81666666666666,95.15,97.09999999999998,1.8739495798319328,1.3908045977011494,1.0459770114942528,1.0158227848101269,1.401197604790419,NORTE GOIANO
